,ts_code,trade_date,trade_date1,qid_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
112,399300.SZ,20230807,2023/8/7,2023/8/4,3990.1531,4002.9677,4002.9677,3977.0173,4020.5792,-30.4261,-0.7568,121310662,227090572.8
113,399300.SZ,20230804,2023/8/4,2023/8/3,4020.5792,4033.7239,4058.2431,4011.6202,4004.9839,15.5953,0.3894,178267189,316529733.8
114,399300.SZ,20230803,2023/8/3,2023/8/2,4004.9839,3962.1296,4004.9996,3962.1296,3969.895,35.0889,0.8839,129006640,224809824.8
115,399300.SZ,20230802,2023/8/2,2023/8/1,3969.895,3985.6951,4008.3343,3958.5127,3998.001,-28.106,-0.703,125855690,204875690.9
116,399300.SZ,20230801,2023/8/1,2023/7/31,3998.001,4009.1831,4031.7008,3983.0273,4014.6301,-16.6291,-0.4142,142286859,255620773.6
117,399300.SZ,20230731,2023/7/31,2023/7/28,4014.6301,4018.8895,4064.3621,4002.0784,3992.7376,21.8925,0.5483,199606830,366544120
118,399300.SZ,20230728,2023/7/28,2023/7/27,3992.7376,3889.7929,4000.919,3886.5535,3902.3458,90.3918,2.3163,179735481,310092467.4
119,399300.SZ,20230727,2023/7/27,2023/7/26,3902.3458,3914.2298,3935.3578,3894.6923,3907.0128,-4.667,-0.1195,110667109,196845425.5
120,399300.SZ,20230726,2023/7/26,2023/7/25,3907.0128,3908.174,3912.9834,3893.3987,3915.1153,-8.1025,-0.207,107881717,192912604.8
121,399300.SZ,20230725,2023/7/25,2023/7/24,3915.1153,3866.6445,3915.8148,3866.6445,3805.221,109.8943,2.888,163066320,299853562.2
122,399300.SZ,20230724,2023/7/24,2023/7/21,3805.221,3803.3492,3828.7853,3798.8048,3821.91,-16.689,-0.4367,75483545,151448369.6
123,399300.SZ,20230721,2023/7/21,2023/7/20,3821.91,3816.9835,3849.5109,3808.803,3823.6946,-1.7846,-0.0467,79507563,157144211.2
124,399300.SZ,20230720,2023/7/20,2023/7/19,3823.6946,3857.7725,3875.6241,3818.7134,3850.8663,-27.1717,-0.7056,92042076,174320872.1
125,399300.SZ,20230719,2023/7/19,2023/7/18,3850.8663,3848.4826,3860.0092,3830.4073,3854.9393,-4.073,-0.1057,79585700,151311481
126,399300.SZ,20230718,2023/7/18,2023/7/17,3854.9393,3871.0444,3871.0444,3844.5129,3867.1749,-12.2356,-0.3164,91438615,167104315.1
127,399300.SZ,20230717,2023/7/17,2023/7/14,3867.1749,3881.6225,3881.6225,3852.2626,3899.1027,-31.9278,-0.8188,98340144,174623552.8
128,399300.SZ,20230714,2023/7/14,2023/7/13,3899.1027,3904.6033,3908.4871,3893.7862,3898.4229,0.6798,0.0174,122364846,220230466.5
129,399300.SZ,20230713,2023/7/13,2023/7/12,3898.4229,3855.662,3901.1023,3855.662,3843.4369,54.986,1.4306,120300232,235278706.8
130,399300.SZ,20230712,2023/7/12,2023/7/11,3843.4369,3864.6013,3874.0403,3838.5632,3869.4861,-26.0492,-0.6732,111522024,214046519.1
131,399300.SZ,20230711,2023/7/11,2023/7/10,3869.4861,3853.7955,3870.6549,3844.5244,3844.3269,25.1592,0.6545,86510716,177585694.4
132,399300.SZ,20230710,2023/7/10,2023/7/7,3844.3269,3841.5591,3865.4566,3831.92,3825.6988,18.6281,0.4869,92033441,185360813.1
133,399300.SZ,20230707,2023/7/7,2023/7/6,3825.6988,3831.5955,3844.8438,3819.0772,3842.7547,-17.0559,-0.4438,100906920,173918560.7
134,399300.SZ,20230706,2023/7/6,2023/7/5,3842.7547,3857.0304,3876.8901,3836.4573,3868.8054,-26.0507,-0.6734,100121842,184742420.9
135,399300.SZ,20230705,2023/7/5,2023/7/4,3868.8054,3895.1945,3899.5188,3864.1301,3899.0133,-30.2079,-0.7748,97636384,188400265.1
136,399300.SZ,20230704,2023/7/4,2023/7/3,3899.0133,3888.0328,3899.9755,3878.3978,3892.8821,6.1312,0.1575,109494527,216335611.4
137,399300.SZ,20230703,2023/7/3,2023/6/30,3892.8821,3853.2919,3897.3273,3853.2919,3842.4516,50.4305,1.3125,133158051,256876520.2
138,399300.SZ,20230630,2023/6/30,2023/6/29,3842.4516,3816.3345,3860.0311,3813.552,3821.8435,20.6081,0.5392,101268429,208146272.9
