stock_code,年份,公司名称,评级日期,WindESG评级,ESG,管理实践得分,争议事件得分,E,S,治理得分,证监会行业,Wind行业
2409,2021,雅克科技,2021/8/1,BBB,6.23,3.3,2.94,2.86,5.67,5.5,化学原料和化学制品制造业,化工
2410,2021,广联达,2021/4/6,AA,8.31,5.35,2.96,0,8.69,7.2,软件和信息技术服务业,软件
2411,2021,延安必康,2021/8/1,BB,4.77,2.83,1.94,3.2,3.36,5.22,医药制造业,制药
2412,2021,汉森制药,2021/8/1,BB,5.2,2.36,2.84,0.24,2.98,5.82,医药制造业,制药
2413,2021,雷科防务,2021/8/1,BBB,5.84,3.1,2.74,1.15,3.36,7.08,计算机、通信和其他电子设备制造业,航空航天与国防Ⅲ
2414,2021,高德红外,2021/5/6,A,7.55,4.75,2.8,5.7,6.52,7.45,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2415,2021,海康威视,2021/4/24,AA,8,5.15,2.84,1.79,8.7,7.57,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2416,2021,爱施德,2021/8/1,BB,5.48,2.62,2.86,0,2.57,6.42,批发业,电子设备、仪器和元件
2417,2021,深南股份,2021/4/27,BBB,6.24,3.26,2.97,0,4.11,6.2,软件和信息技术服务业,信息技术服务
2418,2021,康盛股份,2021/8/1,BB,5.21,2.57,2.64,0,2.46,6.62,通用设备制造业,家庭耐用消费品
2419,2021,天虹股份,2021/3/19,BB,4.6,2.41,2.19,0,2.3,5.91,零售业,多元化零售
2420,2021,毅昌科技,2021/8/1,BB,5.93,3.03,2.9,0,3.58,7.04,橡胶和塑料制品业,家庭耐用消费品
2421,2021,达实智能,2021/8/1,BB,5.44,2.59,2.85,0,2.52,6.08,软件和信息技术服务业,信息技术服务
2422,2021,科伦药业,2021/5/5,AA,8.66,5.78,2.87,8.9,6.94,9.05,医药制造业,制药
2423,2021,中粮资本,2021/5/4,BB,5.51,2.52,2.99,0,3.87,4.92,其他金融业,资本市场
2424,2021,贵州百灵,2021/8/1,BB,5.4,3.13,2.27,5.01,3.68,4.82,医药制造业,制药
2425,2021,凯撒文化,2021/8/1,BB,5.83,2.91,2.91,0,2.67,6.44,互联网和相关服务,软件
2426,2021,胜利精密,2021/8/1,BB,5.24,2.78,2.46,2.6,2.85,5.8,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2427,2021,尤夫股份,2021/8/1,BB,5.25,2.65,2.6,1.09,4.78,5.34,化学纤维制造业,化工
2428,2021,云南锗业,2021/8/1,BBB,6.09,3.09,3,1.34,5.44,5.63,有色金属冶炼和压延加工业,金属、非金属与采矿
2429,2021,兆驰股份,2021/8/1,BB,5.93,3.03,2.9,0,2.77,7.96,计算机、通信和其他电子设备制造业,家庭耐用消费品
2430,2021,杭氧股份,2021/8/1,BB,5.96,3.01,2.95,1.52,3.58,6.83,专用设备制造业,机械
2431,2021,棕榈股份,2021/5/1,BB,4.98,2.77,2.21,0.37,4.19,6.62,土木工程建筑业,建筑与工程Ⅲ
2432,2021,九安医疗,2021/8/1,BBB,5.75,3.37,2.38,0,3.11,7.8,专用设备制造业,医疗保健设备与用品
2433,2021,太安堂药业,2021/8/1,BB,4.58,2.11,2.47,0.48,3,4.73,医药制造业,制药
2434,2021,万里扬,2021/8/1,A,7.53,4.58,2.95,4.31,7.29,6.76,汽车制造业,汽车零配件
2435,2021,长江健康,2021/8/1,B,4.79,1.84,2.95,0.32,2.14,4.61,医药制造业,制药
2436,2021,兴森科技,2021/8/1,BBB,6.42,3.49,2.92,4.84,3.93,6.33,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2437,2021,誉衡药业,2021/8/1,BB,5.52,2.6,2.92,3.03,1.69,6.02,医药制造业,制药
2438,2021,江苏神通,2021/4/20,A,7.21,4.22,2.99,1.58,7.07,7.45,通用设备制造业,机械
2439,2021,启明星辰,2021/8/1,BBB,6.12,3.22,2.9,0,3.82,6.07,软件和信息技术服务业,软件
2440,2021,闰土股份,2021/8/1,BBB,6.12,3.18,2.94,1.49,5.68,6.25,化学原料和化学制品制造业,化工
2441,2021,众业达,2021/8/1,BB,5.11,2.11,3,0,1.95,5.62,批发业,贸易公司与工业品经销商Ⅲ
2442,2021,龙星化工,2021/8/1,BBB,6.55,3.58,2.97,2.43,6.39,6.37,化学原料和化学制品制造业,化工
2443,2021,金洲管道,2021/8/1,BBB,6.21,3.21,3,1.31,5.83,5.71,金属制品业,金属、非金属与采矿
2444,2021,巨星科技,2021/8/1,BB,5.25,2.39,2.86,0,2.21,6.89,金属制品业,家庭耐用消费品
2445,2021,中南文化,2021/8/1,B,4.75,1.92,2.82,0,1.7,4.43,广播、电视、电影和影视录音制作业,媒体Ⅲ
2446,2021,盛路通信,2021/8/1,BB,5.89,2.94,2.95,5.36,4.99,2.72,计算机、通信和其他电子设备制造业,航空航天与国防Ⅲ
2447,2021,晨鑫科技,2021/8/1,BB,5.72,2.76,2.96,0,2.11,6.63,互联网和相关服务,软件
2448,2021,中原内配,2021/8/1,BBB,6.64,3.72,2.91,2.65,5.37,6.42,汽车制造业,汽车零配件
2449,2021,国星光电,2021/4/27,BBB,6.85,3.95,2.9,5.68,4.81,6.62,计算机、通信和其他电子设备制造业,半导体产品与半导体设备
2451,2021,摩恩电气,2021/8/1,BB,5.94,3,2.93,1.26,4.31,7.09,电气机械和器材制造业,电气设备
2452,2021,长高电新,2021/8/1,BB,5.36,2.5,2.86,0.98,3.54,6,电气机械和器材制造业,电气设备
2453,2021,华软科技,2021/8/1,BBB,6.73,3.79,2.94,3.06,4.7,6.88,软件和信息技术服务业,信息技术服务
2454,2021,松芝股份,2021/4/2,BBB,6.4,3.54,2.85,1.32,6.59,5.13,汽车制造业,汽车零配件
2455,2021,百川股份,2021/8/1,BBB,6,3.07,2.94,2.15,3.92,6.8,化学原料和化学制品制造业,化工
2456,2021,欧菲光,2021/5/6,A,6.97,4.1,2.87,4.39,5.03,7.33,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2457,2021,青龙管业,2021/8/1,BB,5.1,2.17,2.92,0.54,1.82,6.7,非金属矿物制品业,建筑产品Ⅲ
2458,2021,益生股份,2021/8/1,B,4.76,1.9,2.86,0.2,1.09,5.68,畜牧业,食品
2459,2021,晶澳科技,2021/4/6,A,7.23,4.47,2.75,7.07,5.68,6.97,电气机械和器材制造业,半导体产品与半导体设备
2460,2021,赣锋锂业,2021/4/7,AA,8.21,5.47,2.73,7.53,8.13,7.67,有色金属冶炼和压延加工业,金属、非金属与采矿
2461,2021,珠江啤酒,2021/8/1,BB,6.03,3.07,2.95,2.56,3.97,6.62,酒、饮料和精制茶制造业,饮料
2462,2021,嘉事堂,2021/4/7,BB,5.34,2.39,2.95,0,2.08,6.27,批发业,医疗保健提供商与服务
2463,2021,沪电股份,2021/8/1,A,7.55,4.56,2.99,7.27,5.58,7.4,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
