trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2022/7/21,2022/7/20,4270.362,4283.147,4236.05,4236.058,1171563.44,23922814.68,-0.011145,58,864325.5817
2022/7/22,2022/7/21,4251.787,4275.47,4207.314,4238.234,1038406.24,22429533.35,0.000514,42,864769.8451
2022/7/25,2022/7/22,4233.928,4234.845,4201.919,4212.644,836366.64,18813642.67,-0.006038,109,859548.3648
2022/7/26,2022/7/25,4220.091,4259.985,4214.534,4245.976,858232.74,19760140.64,0.007912,36,866349.1114
2022/7/27,2022/7/26,4236.154,4242.095,4217.281,4225.036,789049.4,19424530.38,-0.004932,40,862076.2776
2022/7/28,2022/7/27,4242.274,4267.918,4223.029,4225.673,1075319.3,24387148.65,0.000151,68,862206.4511
2022/7/29,2022/7/28,4226.425,4243.514,4160.874,4170.102,1141792.86,25319857.46,-0.013151,67,850867.5741
2022/8/1,2022/7/29,4160.648,4196.574,4129.453,4188.678,1077490.29,25112530.86,0.004455,86,854658.1891
2022/8/2,2022/8/1,4144.377,4144.377,4071.431,4107.024,1422244.25,28101355.53,-0.019494,70,837997.4824
2022/8/3,2022/8/2,4114.825,4150.98,4058.179,4066.975,1166661.24,26869583.48,-0.009751,11,829826.1689
2022/8/4,2022/8/3,4089.442,4108.159,4064.659,4101.537,895326.44,21689867.49,0.008498,63,836878.0317
2022/8/5,2022/8/4,4109.629,4159.485,4097.863,4156.911,1025710.04,24732590.2,0.013501,32,848176.722
2022/8/8,2022/8/5,4142.111,4155.73,4135.081,4148.075,902081.38,22408081.21,-0.002126,71,846373.4983
2022/8/9,2022/8/8,4143.666,4161.809,4131.425,4156.291,841369.59,21422369.23,0.001981,43,848050.1642
2022/8/10,2022/8/9,4149.207,4160.787,4092.546,4109.737,855658.39,21744736.85,-0.011201,77,838551.1543
2022/8/11,2022/8/10,4130.741,4193.812,4116.056,4193.543,1213850.51,26963099.84,0.020392,82,855650.8895
2022/8/12,2022/8/11,4185.42,4202.466,4175.05,4191.152,1068082.95,21920805.53,-0.00057,100,855163.1685
2022/8/15,2022/8/12,4180.001,4219.918,4174.3,4185.679,1058984.95,24553980.1,-0.001306,138,854046.3254
2022/8/16,2022/8/15,4190.527,4208.801,4170.52,4177.837,939061.39,23381858.47,-0.001874,91,852445.8425
2022/8/17,2022/8/16,4182.567,4222.787,4155.173,4216.959,1128646.59,25204432.51,0.009364,160,860428.1454
2022/8/18,2022/8/17,4205.785,4211.914,4173.541,4180.1,1010526.5,23311549.14,-0.008741,126,852907.143
2022/8/19,2022/8/18,4174.546,4185.658,4151.074,4151.074,1174029.78,26249412.82,-0.006944,174,846984.5558
2022/8/22,2022/8/19,4135.162,4183.65,4134.201,4181.397,1124427.2,25974716.37,0.007305,255,853171.778
2022/8/23,2022/8/22,4175.531,4187.388,4147.413,4161.082,1031535.12,23910133.08,-0.004858,261,849027.0695
2022/8/24,2022/8/23,4168.576,4174.157,4079.093,4082.42,1190696.79,26284430.93,-0.018904,230,832977.0618
2022/8/25,2022/8/24,4093.295,4119.62,4058.745,4116.24,1113207.45,24214958.15,0.008284,197,839877.4437
2022/8/26,2022/8/25,4127.814,4139.788,4102.682,4107.546,990004.93,22551919.68,-0.002112,248,838103.6226
2022/8/29,2022/8/26,4063.883,4092.947,4059.596,4089.521,943544.32,20308611.47,-0.004388,680,834426.0239
2022/8/30,2022/8/29,4088.526,4093.136,4048.524,4075.794,933016.62,19264900.13,-0.003357,382,831624.8557
2022/8/31,2022/8/30,4057.144,4112.849,4046.623,4078.84,1324497.65,29297466.55,0.000747,461,832246.0795
2022/9/1,2022/8/31,4066.187,4090.885,4041.128,4043.74,973870.71,21089850.35,-0.008605,509,825084.602
2022/9/2,2022/9/1,4054.842,4056.181,4004.911,4023.613,867892.78,18446832.7,-0.004977,407,820978.1559
2022/9/5,2022/9/2,4010.405,4016.999,3982.74,4015.426,937671.09,20111869.66,-0.002035,369,819307.4654
2022/9/6,2022/9/5,4024.473,4054.004,4009.583,4052.28,1135062.65,23592183.81,0.009178,232,826827.0693
2022/9/7,2022/9/6,4032.723,4067.544,4028.374,4054.983,1076780.59,21514715.22,0.000667,93,827378.5629
2022/9/8,2022/9/7,4059.169,4067.758,4036.023,4037.684,1008860.49,18688904.8,-0.004266,68,823848.966
2022/9/9,2022/9/8,4050.585,4099.008,4042.25,4093.787,1184271.14,22144254.72,0.013895,76,835296.3474
2022/9/13,2022/9/9,4112.012,4128.111,4097.141,4111.115,1117897.37,21852106.21,0.004233,0,838832.1568
2022/9/14,2022/9/13,4058.044,4089.058,4047.919,4065.359,907936.81,18548496.51,-0.01113,24,829495.9549
2022/9/15,2022/9/14,4078.65,4088.808,3998.856,4027.119,1239511.96,25436749.28,-0.009406,40,821693.7159
2022/9/16,2022/9/15,4013.583,4019.41,3932.683,3932.683,1371936.55,24125184.01,-0.02345,26,802424.9983
2022/9/19,2022/9/16,3928.424,3953.649,3910.311,3928,977195.75,18357444.06,-0.001191,42,801469.3101
2022/9/20,2022/9/19,3945.647,3957.554,3921.688,3932.836,848241.34,17924815.35,0.001231,30,802455.9189
2022/9/21,2022/9/20,3921.318,3924.391,3884.227,3903.735,864583.91,16893907.43,-0.007399,20,796518.5475
2022/9/22,2022/9/21,3875.177,3900.274,3860.231,3869.344,809469.19,16113410.28,-0.00881,20,789501.2191
2022/9/23,2022/9/22,3865.105,3888.396,3829.691,3856.021,943424.62,17290480.74,-0.003443,12,786782.9664
2022/9/26,2022/9/23,3829.596,3893.319,3827.95,3836.677,1045260.31,19290620.03,-0.005017,32,782835.6763
2022/9/27,2022/9/26,3844.069,3893.028,3827.927,3892.295,888601.6,18595524.74,0.014496,27,794183.6622
2022/9/28,2022/9/27,3879.44,3879.44,3828.055,3828.71,865922.13,17243804.28,-0.016336,32,781209.8779
2022/9/29,2022/9/28,3864.316,3873.182,3808.65,3827.143,856541.42,17163594,-0.000409,23,780890.3631
2022/9/30,2022/9/29,3833.35,3848.602,3801.28,3804.885,785599.66,15869274.88,-0.005816,0,776348.7047
2022/10/10,2022/9/30,3806.56,3807.457,3715.714,3720.937,1026475.95,19463590.41,-0.022063,38,759220.1233
2022/10/11,2022/10/10,3732.019,3739.808,3706.063,3727.687,839446.25,16680039.49,0.001814,41,760597.3486
2022/10/12,2022/10/11,3722.866,3784.306,3661.526,3784.306,1080893.19,21093136.23,0.015189,58,772150.0617
2022/10/13,2022/10/12,3756.418,3783.596,3749.639,3752.673,990189.15,19836889.15,-0.008359,41,765695.6593
2022/10/14,2022/10/13,3783.316,3863.227,3780.842,3842.47,1162422.93,25655127.2,0.023929,67,784017.9908
2022/10/17,2022/10/14,3822.243,3849.621,3809.12,3846.412,1041920.19,22048887.44,0.001026,89,784822.3932
2022/10/18,2022/10/17,3865.826,3870.216,3831.172,3838.267,883469.07,18655629.58,-0.002118,136,783160.1394
2022/10/19,2022/10/18,3827.466,3840.487,3776.534,3776.534,815748.44,18673640.82,-0.016084,87,770563.7917
2022/10/20,2022/10/19,3746.579,3804.247,3726.793,3754.927,902908.95,20378161.89,-0.005721,69,766155.3963
2022/10/21,2022/10/20,3753.89,3768.69,3724.69,3742.893,987500.38,18068635.77,-0.003205,54,763699.8682
2022/10/24,2022/10/21,3727.915,3762.158,3619.988,3633.373,1300568.64,25945074.31,-0.029261,133,741353.2464
2022/10/25,2022/10/24,3621.936,3670.733,3594.701,3627.454,1109538.82,21930275.96,-0.001629,81,740145.5819
2022/10/26,2022/10/25,3633.311,3700.88,3633.311,3656.903,1213015.48,24245381.06,0.008118,163,746154.0838
2022/10/27,2022/10/26,3667.665,3685.084,3631.064,3631.145,1179986.75,25747331.57,-0.007044,251,740898.1744
2022/10/28,2022/10/27,3605.16,3618.864,3533.499,3541.33,1187721.62,24581645.2,-0.024735,362,722572.0581
2022/10/31,2022/10/28,3504.507,3553.387,3495.951,3508.703,1384656.55,25657482.21,-0.009213,932,715915.0017
2022/11/1,2022/10/31,3519.817,3634.173,3517.621,3634.173,1492866.98,29508992.84,0.03576,545,741516.1221
2022/11/2,2022/11/1,3620.369,3703.465,3610.803,3677.805,1415929.19,29164824.57,0.012006,478,750418.7647
2022/11/3,2022/11/2,3645.06,3670.157,3628.499,3647.897,1105660.35,21537929.8,-0.008132,300,744316.3593
2022/11/4,2022/11/3,3646.771,3782.882,3646.771,3767.175,1497349.49,31114547.76,0.032698,150,768654.0156
2022/11/7,2022/11/4,3754.523,3792.794,3746.372,3775.297,1298263.71,25119569.99,0.002156,201,770311.2337
2022/11/8,2022/11/7,3773.661,3779.116,3723.342,3749.325,990164.51,19335132.49,-0.006879,115,765012.2627
2022/11/9,2022/11/8,3750.782,3760.407,3711.268,3714.27,894345.25,17202952.99,-0.00935,43,757859.3981
2022/11/10,2022/11/9,3685.827,3701.531,3665.059,3685.689,1035093.02,18315530.87,-0.007695,35,752027.67
2022/11/11,2022/11/10,3787.757,3828.9,3747.09,3788.439,1896855.86,34447132.63,0.027878,32,772992.6974
2022/11/14,2022/11/11,3818.145,3848.412,3781.778,3794.017,1696650.48,31553685.61,0.001472,34,774130.5426
2022/11/15,2022/11/14,3788.926,3871.642,3775.499,3865.973,1515156.5,29626814.28,0.018966,105,788812.7025
2022/11/16,2022/11/15,3860.811,3877.678,3829.313,3834.39,1206109.64,23584458.82,-0.008169,35,782368.8915
2022/11/17,2022/11/16,3821.271,3821.742,3776.574,3818.664,1059406.32,21954081.13,-0.004101,31,779160.3967
2022/11/18,2022/11/17,3823.821,3840.302,3801.569,3801.569,1150787.77,22427613.1,-0.004477,30,775672.0956
2022/11/21,2022/11/18,3769.627,3769.873,3733.995,3769.127,958669.66,18823037.37,-0.008534,33,769052.5099
2022/11/22,2022/11/21,3766.082,3809.858,3751.045,3769.573,1444863.34,20349082.84,0.000118,28,769143.2581
2022/11/23,2022/11/22,3760.216,3791.178,3753.214,3773.529,1445279.11,20107060.12,0.001049,25,769950.0894
2022/11/24,2022/11/23,3791.54,3804.899,3751.382,3756.808,1010734.47,16069892.15,-0.004431,19,766538.4406
2022/11/25,2022/11/24,3751.282,3790.566,3743.414,3775.776,1429297.11,19171104.07,0.005049,22,770408.6932
2022/11/28,2022/11/25,3701.902,3736.081,3672.131,3733.242,1278257.48,19630556.17,-0.011265,32,761730.0392
2022/11/29,2022/11/28,3766.57,3854.774,3766.57,3848.422,1787013.92,28906233.64,0.030853,18,785231.6961
2022/11/30,2022/11/29,3836.56,3867.659,3833.827,3853.037,1575114,25005146.81,0.001199,30,786173.1889
2022/12/1,2022/11/30,3921.295,3944.565,3893.872,3894.769,1699645.85,30667819.57,0.010831,32,794688.2307
2022/12/2,2022/12/1,3886.403,3898.115,3865.884,3870.948,1167863.5,20125316.64,-0.006116,26,789827.9175
