report_id,date,qid_date,stock_code,page,advance_reaction,star_analyst,title_len,num_sentence,avg_sentence_len,sd_sentence_len,num_authors,analyst_coverage,ln_page,ln_title_len,ln_num_sentence,ln_avg_sentence_len,ln_sd_sentence_len,ln_num_authors,ln_analyst_coverage,rm_rf,smb,hml,rmw,cma,broker_size,listed,ln_broker_size,prior_performance_avg,prior_performance_sd,broker_status,real_return,up_down,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,close,pclose,volume,trade_date
132010,2019/1/2,20190102,300577,7,1,0,26,27,49.37037037,28.53736751,3,13,1.945910096,3.258096457,3.295836926,3.899350405,3.351214409,1.386294365,2.639057398,-0.043711,0.003143,0.009858,0.010455,0.010951,142,1,4.962844849,0.561222977,0.339842166,8.664060267,-0.009804,0,0,0,0,0,1,0,30.3,30.6,546893,20190103
107711,2019/1/2,20190102,300144,4,1,0,19,22,54.18181818,51.08694582,2,62,1.386294365,2.944438934,3.091042519,3.992345333,3.9335289,1.098612309,4.143134594,-0.043711,0.003143,0.009858,0.010455,0.010951,110,1,4.709530354,0.575350529,0.343646847,8.400434631,-0.026639,0,0,1,0,0,0,0,19,19.52,11691459,20190103
108102,2019/1/2,20190102,300144,9,1,1,30,52,74.75,48.62251576,2,62,2.197224617,3.401197433,3.951243639,4.31414938,3.884086609,1.098612309,4.143134594,-0.043711,0.003143,0.009858,0.010455,0.010951,101,1,4.62497282,0.526812148,0.340832075,8.451480648,-0.026639,0,0,1,0,0,0,0,19,19.52,11691459,20190103
133710,2019/1/2,20190102,300621,4,0,1,16,20,64.45,31.07486927,3,2,1.386294365,2.77258873,2.995732307,4.16588974,3.43639946,1.386294365,1.098612309,-0.043711,0.003143,0.009858,0.010455,0.010951,81,0,4.406719208,0.531842301,0.345091512,7.902117546,-0.026721,0,0,0,0,1,0,0,9.47,9.73,1870000,20190103
131717,2019/1/2,20190102,300571,3,1,1,22,7,106.2857143,74.68546289,2,17,1.098612309,3.091042519,1.945910096,4.66613102,4.313285351,1.098612309,2.890371799,-0.043711,0.003143,0.009858,0.010455,0.010951,142,1,4.962844849,0.561222977,0.339842166,8.664060267,-0.049568,0,0,1,0,0,0,0,41.8,43.98,1546438,20190103
103767,2019/1/3,20190103,300098,6,0,1,21,52,48.73076923,31.35719485,2,44,1.791759491,3.044522524,3.951243639,3.886310577,3.44544363,1.098612309,3.80666256,-0.043711,0.003143,0.009858,0.010455,0.010951,101,1,4.62497282,0.52445253,0.340550231,8.451480648,0.041854,1,0,1,0,0,0,0,6.97,6.69,26156834,20190104
94067,2019/1/3,20190103,300001,4,0,0,29,17,53.17647059,43.37963102,2,13,1.386294365,3.367295742,2.833213329,3.973616123,3.769989967,1.098612309,2.639057398,-0.043711,0.003143,0.009858,0.010455,0.010951,81,0,4.406719208,0.534862953,0.345551567,7.902117546,0.03066,1,0,0,0,0,1,0,17.48,16.96,10668765,20190104
113065,2019/1/3,20190103,300212,3,0,1,20,14,74.57142857,42.44780709,1,14,1.098612309,2.995732307,2.639057398,4.311757565,3.74827528,0.693147182,2.708050251,-0.043711,0.003143,0.009858,0.010455,0.010951,142,1,4.962844849,0.559643679,0.339150499,8.664060267,0.029028,1,0,1,0,0,0,0,21.27,20.67,4469364,20190104
97460,2019/1/3,20190103,300021,5,0,1,24,23,84.47826087,55.11321909,1,5,1.609437943,3.178053856,3.135494232,4.43649435,4.0093894,0.693147182,1.791759491,-0.043711,0.003143,0.009858,0.010455,0.010951,101,1,4.62497282,0.52445253,0.340550231,8.451480648,0.021951,1,0,0,0,0,1,0,4.19,4.1,6189551,20190104
106106,2019/1/3,20190103,300124,5,0,0,22,17,52.52941176,37.32704058,1,50,1.609437943,3.091042519,2.833213329,3.961373329,3.619718075,0.693147182,3.931825638,-0.043711,0.003143,0.009858,0.010455,0.010951,82,1,4.418840408,0.531534809,0.33956488,7.928766322,0.017017,1,0,0,0,0,1,0,20.32,19.98,9095106,20190104
