stock_code,qid_date,real_return,close,pclose,volume,real_date
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300896,20221026,-0.05927,438.38,466,2416085,20221027
300382,20221026,-0.05943,22.79,24.23,11024094,20221027
300382,20221026,-0.05943,22.79,24.23,11024094,20221027
301122,20221026,-0.061102,56.24,59.9,2353700,20221027
300586,20221026,-0.06641,19.4,20.78,21896966,20221027
301018,20221026,-0.087987,44.26,48.53,8342576,20221027
300565,20221026,-0.096459,26.79,29.65,37266564,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300015,20221026,-0.130803,25.65,29.51,164254650,20221027
300747,20221027,0.045045,27.84,26.64,13778110,20221028
300593,20221027,0.038722,50.7,48.81,9424167,20221028
300593,20221027,0.038722,50.7,48.81,9424167,20221028
301029,20221027,0.028603,74.8,72.72,2444588,20221028
300443,20221027,0.011749,46.5,45.96,13383878,20221028
300768,20221027,0.011628,15.66,15.48,20759682,20221028
300768,20221027,0.011628,15.66,15.48,20759682,20221028
300628,20221027,0.00896,66.44,65.85,2018442,20221028
300628,20221027,0.00896,66.44,65.85,2018442,20221028
300628,20221027,0.00896,66.44,65.85,2018442,20221028
300628,20221027,0.00896,66.44,65.85,2018442,20221028
300666,20221027,0.001447,89.97,89.84,6339889,20221028
300666,20221027,0.001447,89.97,89.84,6339889,20221028
300724,20221027,-0.002301,143.09,143.42,7479943,20221028
300724,20221027,-0.002301,143.09,143.42,7479943,20221028
300724,20221027,-0.002301,143.09,143.42,7479943,20221028
300724,20221027,-0.002301,143.09,143.42,7479943,20221028
300724,20221027,-0.002301,143.09,143.42,7479943,20221028
300724,20221027,-0.002301,143.09,143.42,7479943,20221028
300699,20221027,-0.002875,76.3,76.52,4982577,20221028
300763,20221027,-0.003725,192.58,193.3,5174430,20221028
300763,20221027,-0.003725,192.58,193.3,5174430,20221028
300820,20221027,-0.004344,114.6,115.1,2221748,20221028
300820,20221027,-0.004344,114.6,115.1,2221748,20221028
301095,20221027,-0.006695,117.21,118,2873966,20221028
301101,20221027,-0.008295,59.78,60.28,2480399,20221028
300298,20221027,-0.008936,35.49,35.81,6050743,20221028
300811,20221027,-0.010882,100.89,102,874949,20221028
300811,20221027,-0.010882,100.89,102,874949,20221028
300811,20221027,-0.010882,100.89,102,874949,20221028
300196,20221027,-0.012089,14.71,14.89,9431379,20221028
300682,20221027,-0.012205,24.28,24.58,10038518,20221028
300015,20221027,-0.012865,25.32,25.65,62574944,20221028
300015,20221027,-0.012865,25.32,25.65,62574944,20221028
300015,20221027,-0.012865,25.32,25.65,62574944,20221028
300244,20221027,-0.013504,28.49,28.88,9827102,20221028
300244,20221027,-0.013504,28.49,28.88,9827102,20221028
300567,20221027,-0.01446,51.8,52.56,13751488,20221028
300871,20221027,-0.015112,22.81,23.16,2072498,20221028
300871,20221027,-0.015112,22.81,23.16,2072498,20221028
300036,20221027,-0.015608,18.29,18.58,11483643,20221028
301102,20221027,-0.016263,27.22,27.67,958236,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300896,20221027,-0.017747,430.6,438.38,1448343,20221028
300725,20221027,-0.01873,87.49,89.16,3879535,20221028
300725,20221027,-0.01873,87.49,89.16,3879535,20221028
301086,20221027,-0.018776,60.1,61.25,474012,20221028
300285,20221027,-0.019531,22.59,23.04,9340519,20221028
300285,20221027,-0.019531,22.59,23.04,9340519,20221028
301073,20221027,-0.01978,66.9,68.25,1183699,20221028
301073,20221027,-0.01978,66.9,68.25,1183699,20221028
300061,20221027,-0.019947,7.37,7.52,29457812,20221028
300363,20221027,-0.020177,44.19,45.1,16251616,20221028
300174,20221027,-0.020181,18.45,18.83,5499694,20221028
301047,20221027,-0.020538,98.72,100.79,834996,20221028
300124,20221027,-0.023498,64.83,66.39,11836983,20221028
300124,20221027,-0.023498,64.83,66.39,11836983,20221028
300772,20221027,-0.024,18.3,18.75,17896643,20221028
300751,20221027,-0.024766,478.84,491,1381604,20221028
300655,20221027,-0.025277,15.81,16.22,20920207,20221028
300447,20221027,-0.025714,17.05,17.5,6072143,20221028
300680,20221027,-0.025918,27.06,27.78,2835388,20221028
300005,20221027,-0.027143,6.81,7,6190182,20221028
300938,20221027,-0.027636,38,39.08,1397752,20221028
300498,20221027,-0.028123,17.97,18.49,48797555,20221028
300498,20221027,-0.028123,17.97,18.49,48797555,20221028
300498,20221027,-0.028123,17.97,18.49,48797555,20221028
300498,20221027,-0.028123,17.97,18.49,48797555,20221028
300498,20221027,-0.028123,17.97,18.49,48797555,20221028
300316,20221027,-0.02825,74.3,76.46,10966152,20221028
